# Ks band used in 2MASS.
# Source: http://www.ipac.caltech.edu/2mass/releases/allsky/doc/sec3_1b1.html#s11
# W(A)  Response
19000.0 0.0
19150.0 0.0013
19270.0 0.0027
19340.0 0.004
19390.0 0.0082
19480.0 0.0153
19570.0 0.0293
19620.0 0.0462
19690.0 0.0743
19760.0 0.1222
19810.0 0.1714
19890.0 0.2672
19900.0 0.3517
19980.0 0.4263
20080.0 0.6262
20140.0 0.6797
20190.0 0.7487
20280.0 0.7853
20370.0 0.812
20450.0 0.8303
20610.0 0.8485
20720.0 0.8513
20750.0 0.8583
20820.0 0.8597
20890.0 0.8667
20990.0 0.8751
21060.0 0.8765
21130.0 0.8835
21200.0 0.8891
21240.0 0.8863
21380.0 0.8848
21450.0 0.8819
21550.0 0.8805
21690.0 0.8748
21760.0 0.8804
21850.0 0.8818
21970.0 0.8902
22080.0 0.8986
22130.0 0.9014
22180.0 0.8999
22320.0 0.8999
22370.0 0.8956
22480.0 0.8913
22560.0 0.8969
22600.0 0.8997
22630.0 0.8997
22650.0 0.9053
22700.0 0.9109
22720.0 0.9166
22760.0 0.9109
22770.0 0.9025
22810.0 0.887
22840.0 0.8686
22860.0 0.8433
22910.0 0.7714
22930.0 0.7292
22950.0 0.665
22970.0 0.595
22990.0 0.5333
23060.0 0.4094
23110.0 0.3108
23160.0 0.2234
23200.0 0.1544
23250.0 0.1234
23280.0 0.0896
23350.0 0.0599
23390.0 0.0416
23440.0 0.032
23460.0 0.03
23520.0 0.0162
23610.0 0.0063
23630.0 0.0007
23700.0 0.0034
23750.0 0.002
23840.0 0.0006
23990.0 0.0
